iter	Passed	Remaining
442	1267	1593
443	1269	1589
444	1276	1592
445	1278	1588
446	1280	1584
447	1282	1580
448	1285	1576
449	1291	1578
450	1294	1575
451	1296	1571
452	1298	1567
453	1300	1563
454	1302	1560
455	1305	1556
456	1307	1553
457	1309	1549
458	1312	1546
459	1314	1542
460	1316	1539
461	1318	1535
462	1321	1532
463	1323	1528
464	1330	1530
465	1333	1527
466	1335	1524
467	1343	1527
468	1345	1523
469	1349	1521
470	1352	1519
471	1360	1521
472	1363	1518
473	1366	1516
474	1373	1518
475	1377	1516
476	1380	1513
477	1382	1509
478	1390	1512
479	1392	1508
480	1395	1505
481	1401	1506
482	1404	1503
483	1408	1501
484	1418	1505
485	1421	1503
486	1423	1499
487	1426	1496
488	1428	1493
489	1431	1490
490	1433	1486
491	1435	1482
492	1437	1478
493	1439	1474
494	1441	1470
495	1443	1466
496	1444	1462
497	1446	1457
498	1447	1453
499	1452	1452
500	1454	1448
501	1455	1444
502	1457	1439
503	1458	1435
504	1459	1430
505	1462	1427
506	1467	1427
507	1469	1422
508	1470	1418
509	1472	1414
510	1474	1410
511	1476	1407
512	1481	1406
513	1485	1404
514	1487	1400
515	1489	1396
516	1491	1393
517	1495	1391
518	1497	1387
519	1499	1383
520	1500	1379
521	1501	1375
522	1502	1370
523	1504	1366
524	1505	1362
525	1507	1358
526	1508	1353
527	1509	1349
528	1510	1344
529	1511	1340
530	1512	1336
531	1513	1331
532	1518	1330
533	1519	1325
534	1520	1321
535	1521	1317
536	1522	1312
537	1523	1308
538	1525	1304
539	1526	1300
540	1527	1296
541	1532	1295
542	1534	1291
543	1535	1287
544	1536	1282
545	1538	1278
546	1539	1274
547	1541	1271
548	1542	1267
549	1546	1265
550	1547	1261
551	1548	1257
552	1550	1252
553	1551	1248
554	1552	1244
555	1553	1240
556	1555	1236
557	1556	1232
558	1557	1228
559	1561	1227
560	1562	1223
561	1564	1219
562	1565	1214
563	1566	1210
564	1567	1206
565	1568	1202
566	1570	1199
567	1571	1195
568	1575	1193
569	1577	1190
570	1579	1186
571	1580	1182
572	1582	1179
573	1585	1176
574	1596	1179
575	1598	1176
576	1607	1178
577	1609	1175
578	1612	1172
579	1614	1168
580	1619	1168
581	1622	1165
582	1624	1162
583	1627	1159
584	1630	1156
585	1633	1153
586	1634	1150
587	1636	1146
588	1638	1143
589	1640	1140
590	1642	1136
591	1648	1135
592	1649	1132
593	1651	1129
594	1653	1125
595	1655	1122
596	1660	1120
597	1662	1117
598	1665	1114
599	1667	1111
600	1671	1109
601	1676	1108
602	1678	1105
603	1680	1101
604	1682	1098
605	1684	1095
606	1685	1091
607	1688	1088
608	1690	1085
609	1692	1081
610	1693	1078
611	1695	1075
612	1703	1075
613	1705	1072
614	1707	1069
615	1709	1065
616	1711	1062
617	1717	1061
618	1718	1057
619	1720	1054
620	1722	1050
621	1724	1047
622	1726	1044
623	1731	1043
624	1733	1040
625	1735	1036
626	1737	1033
627	1738	1029
628	1740	1026
629	1746	1025
630	1748	1022
631	1751	1019
632	1753	1016
633	1760	1016
634	1762	1012
635	1764	1009
636	1766	1006
637	1767	1003
638	1769	999
639	1774	998
640	1776	995
641	1778	991
642	1780	988
643	1782	985
644	1783	981
645	1788	980
646	1791	977
647	1793	974
648	1795	971
649	1797	967
650	1802	966
651	1804	963
652	1806	959
653	1807	956
654	1809	953
655	1811	950
656	1813	946
657	1815	943
658	1817	940
659	1819	937
660	1821	934
661	1823	930
662	1824	927
663	1827	924
664	1829	921
665	1830	918
666	1832	915
667	1834	911
668	1839	910
669	1843	907
670	1846	905
671	1848	902
672	1855	901
673	1857	898
674	1859	895
675	1861	892
676	1862	888
677	1864	885
678	1866	882
679	1868	879
680	1870	876
681	1872	872
682	1874	869
683	1875	866
684	1878	863
685	1880	860
686	1883	858
687	1886	855
688	1892	854
689	1894	851
690	1897	848
691	1899	845
692	1905	843
693	1907	841
694	1911	838
695	1913	835
696	1920	834
697	1923	832
698	1926	829
699	1928	826
700	1935	825
701	1939	823
702	1942	820
703	1950	820
704	1955	818
705	1958	815
706	1969	816
707	1970	812
708	1972	809
709	1974	806
710	1980	805
711	1982	802
712	1985	799
713	1987	796
714	1990	793
715	1995	791
716	1997	788
717	1999	785
718	2000	782
719	2002	778
720	2012	778
721	2015	775
722	2017	772
723	2026	772
724	2028	769
725	2030	766
726	2032	763
727	2035	760
728	2037	757
729	2039	754
730	2040	750
731	2041	747
732	2042	744
733	2044	740
734	2045	737
735	2047	734
736	2051	732
737	2052	728
738	2053	725
739	2054	722
740	2056	718
741	2057	715
742	2058	712
743	2059	708
744	2060	705
745	2065	703
746	2066	699
747	2067	696
748	2068	693
749	2070	690
750	2071	686
751	2072	683
752	2073	680
753	2074	676
754	2076	673
755	2077	670
756	2078	667
757	2080	664
758	2081	660
759	2082	657
760	2083	654
761	2084	651
762	2085	647
763	2086	644
764	2091	642
765	2092	639
766	2094	636
767	2095	632
768	2096	629
769	2097	626
770	2098	623
771	2099	620
772	2100	616
773	2101	613
774	2106	611
775	2108	608
776	2109	605
777	2110	602
778	2111	599
779	2112	595
780	2113	592
781	2114	589
782	2116	586
783	2119	584
784	2121	581
785	2123	578
786	2124	575
787	2126	572
788	2128	569
789	2130	566
790	2133	563
791	2135	560
792	2137	557
793	2138	554
794	2139	551
795	2140	548
796	2141	545
797	2142	542
798	2144	539
799	2150	537
800	2151	534
801	2152	531
802	2154	528
803	2155	525
804	2156	522
805	2157	519
806	2158	516
807	2159	513
808	2161	510
809	2162	507
810	2163	504
811	2165	501
812	2166	498
813	2167	495
814	2168	492
815	2169	489
816	2171	486
817	2174	483
818	2176	480
819	2177	477
820	2178	474
821	2179	472
822	2180	469
823	2182	466
824	2183	463
825	2184	460
826	2185	457
827	2187	454
828	2188	451
829	2189	448
830	2191	445
831	2192	442
832	2193	439
833	2194	436
834	2196	433
835	2197	431
836	2201	428
837	2203	425
838	2204	423
839	2206	420
840	2208	417
841	2209	414
842	2211	411
843	2215	409
844	2217	406
845	2218	403
846	2220	401
847	2221	398
848	2222	395
849	2223	392
850	2224	389
851	2225	386
852	2230	384
853	2231	381
854	2232	378
855	2234	375
856	2235	372
857	2236	370
858	2237	367
859	2238	364
860	2240	361
861	2244	359
862	2245	356
863	2246	353
864	2248	350
865	2249	348
866	2250	345
867	2251	342
868	2252	339
869	2254	336
870	2259	334
871	2260	331
872	2261	328
873	2262	326
874	2263	323
875	2264	320
876	2265	317
877	2266	314
878	2268	312
879	2269	309
880	2271	306
881	2272	304
882	2274	301
